Data,Species,ProBiomassInitial,Deployed,Sampled,Quadrant,Week,Block,Location,ProDivTrtType,ProDivTrtRich,ProDivTrtID,CfBiomass,GtBiomass,GvBiomass,GgBiomass,ProBiomass,Amphipods,Bivalves,Caprellids,Gastropods,Isopods,Megalopae,NonXanthidCrabs,Polychaetes,Pycnogonids,Shrimps,XanthidCrabs,Others,ConAbund,ConBiomass,ConDivRich
Sum,Cf,15,6/14/12,6/21/12,1,1,1,28,Mono,1,Cf,9.67,NA,NA,NA,9.67,0,0,0,3,0,0,0,0,0,0,0,0,3,0.005,1
Sum,Cf,15,6/14/12,6/21/12,1,1,2,26,Mono,1,Cf,9.9,NA,NA,NA,9.9,3,0,0,4,0,0,0,0,0,0,0,0,7,0.01,2
Sum,Cf,15,6/14/12,6/21/12,1,1,3,12,Mono,1,Cf,11.6,NA,NA,NA,11.6,0,1,0,10,1,0,0,1,0,0,0,0,13,0.015,4
Sum,Cf,15,6/14/12,6/21/12,1,1,4,21,Mono,1,Cf,6.35,NA,NA,NA,6.35,2,0,0,8,0,1,0,0,0,0,0,0,11,0.021,3
Sum,Cf,15,6/14/12,6/21/12,1,1,5,33,Mono,1,Cf,5.4,NA,NA,NA,5.4,4,0,0,10,0,0,0,0,0,0,0,0,14,0.02,2
Sum,Gt,15,6/14/12,6/21/12,1,1,6,29,Mono,1,Gt,NA,7.6,NA,NA,7.6,40,0,0,16,6,0,0,0,0,0,0,0,62,0.036,3
Sum,Gt,15,6/14/12,6/21/12,1,1,7,17,Mono,1,Gt,NA,7.85,NA,NA,7.85,68,0,0,27,3,1,0,0,0,0,0,0,99,0.068,4
Sum,Gt,15,6/14/12,6/21/12,1,1,8,3,Mono,1,Gt,NA,4.88,NA,NA,4.88,77,1,2,21,2,0,0,0,0,0,1,0,104,0.234,6
Sum,Gt,15,6/14/12,6/21/12,1,1,9,2,Mono,1,Gt,NA,1.78,NA,NA,1.78,2,0,0,2,1,0,0,0,0,0,0,0,5,0.006,3
Sum,Gt,15,6/14/12,6/21/12,1,1,10,5,Mono,1,Gt,NA,4.33,NA,NA,4.33,7,0,0,1,2,0,0,0,0,0,0,0,10,0.002,3
Sum,Gv,15,6/14/12,6/21/12,1,1,11,23,Mono,1,Gv,NA,NA,15.42,NA,15.42,203,0,2,52,5,0,0,1,0,0,1,0,264,0.178,6
Sum,Gv,15,6/14/12,6/21/12,1,1,12,11,Mono,1,Gv,NA,NA,10.33,NA,10.33,157,0,0,47,1,1,0,1,0,0,1,0,208,0.119,6
Sum,Gv,15,6/14/12,6/21/12,1,1,13,27,Mono,1,Gv,NA,NA,14.23,NA,14.23,159,0,3,20,5,0,0,0,0,0,1,0,188,0.06,5
Sum,Gv,15,6/14/12,6/21/12,1,1,14,32,Mono,1,Gv,NA,NA,11.12,NA,11.12,169,0,3,113,7,0,0,1,0,0,0,0,293,0.219,5
Sum,Gv,15,6/14/12,6/21/12,1,1,15,19,Mono,1,Gv,NA,NA,10,NA,10,101,0,0,22,8,0,0,0,0,0,0,0,131,0.059,3
Sum,Gg,15,6/14/12,6/21/12,1,1,16,9,Mono,1,Gg,NA,NA,NA,8.32,8.32,145,0,5,80,4,0,0,0,0,0,2,0,236,0.21,5
Sum,Gg,15,6/14/12,6/21/12,1,1,17,16,Mono,1,Gg,NA,NA,NA,14.1,14.1,284,1,6,82,4,0,0,2,0,0,2,0,381,0.203,7
Sum,Gg,15,6/14/12,6/21/12,1,1,18,22,Mono,1,Gg,NA,NA,NA,13.28,13.28,114,0,4,48,0,0,0,1,0,0,2,0,169,0.11,5
Sum,Gg,15,6/14/12,6/21/12,1,1,19,10,Mono,1,Gg,NA,NA,NA,12.72,12.72,188,0,3,71,2,0,0,1,0,0,2,0,267,0.202,6
Sum,Gg,15,6/14/12,6/21/12,1,1,20,30,Mono,1,Gg,NA,NA,NA,13.28,13.28,172,0,0,50,0,0,0,1,0,0,2,0,225,0.113,4
Part,Cf,5,6/14/12,6/21/12,1,1,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/21/12,1,1,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,21,8,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,21,8,Poly,3,NM,NA,NA,NA,NA,8.43,78,1,1,27,1,0,0,1,0,0,0,0,109,0.06,6
Part,Cf,5,6/14/12,6/21/12,1,1,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/21/12,1,1,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,22,35,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,22,35,Poly,3,NM,NA,NA,NA,NA,8.3,71,0,0,28,1,0,0,0,0,0,1,1,102,0.062,5
Part,Cf,5,6/14/12,6/21/12,1,1,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/21/12,1,1,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gg,5,6/14/12,6/21/12,1,1,23,7,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sum,All,15,6/14/12,6/21/12,1,1,23,7,Poly,3,NM,NA,NA,NA,NA,7.75,83,0,0,25,0,1,0,0,0,0,0,0,109,0.07,3
Part,Cf,5,6/14/12,6/21/12,1,1,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Part,Gt,5,6/14/12,6/21/12,1,1,24,18,Poly,3,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
