"","diff","lwr","upr","p adj","response"
"Gracilaria tikvahiae-Codium fragile",25.8166666666667,-11.1086095176671,62.7419428510005,0.318221933703056,"Consumer abundance"
"Gracilaria vermiculophylla-Codium fragile",47.4833333333333,10.5580571489996,84.4086095176671,0.00556610953408898,"Consumer abundance"
"Gymnogongrus griffithsiae-Codium fragile",108.033333333333,71.1080571489996,144.958609517667,9.74151836974357e-09,"Consumer abundance"
"3 species native-Codium fragile",64.4333333333333,27.5080571489996,101.358609517667,0.000119180452996637,"Consumer abundance"
"3 species invasive-Codium fragile",89.7833333333333,52.8580571489996,126.708609517667,4.15240297479968e-07,"Consumer abundance"
"4 species-Codium fragile",66.0333333333333,29.1080571489996,102.958609517667,8.25809276174816e-05,"Consumer abundance"
"Gracilaria vermiculophylla-Gracilaria tikvahiae",21.6666666666667,-15.2586095176671,58.5919428510004,0.520642617566402,"Consumer abundance"
"Gymnogongrus griffithsiae-Gracilaria tikvahiae",82.2166666666667,45.2913904823329,119.141942851001,2.14878400495166e-06,"Consumer abundance"
"3 species native-Gracilaria tikvahiae",38.6166666666666,1.69139048233286,75.5419428510004,0.0359079166419566,"Consumer abundance"
"3 species invasive-Gracilaria tikvahiae",63.9666666666666,27.0413904823329,100.891942851,0.000132649661929274,"Consumer abundance"
"4 species-Gracilaria tikvahiae",40.2166666666666,3.29139048233287,77.1419428510004,0.0260283827583097,"Consumer abundance"
"Gymnogongrus griffithsiae-Gracilaria vermiculophylla",60.5500000000001,23.6247238156663,97.4752761843339,0.000290577094100519,"Consumer abundance"
"3 species native-Gracilaria vermiculophylla",16.95,-19.9752761843338,53.8752761843338,0.767106058982173,"Consumer abundance"
"3 species invasive-Gracilaria vermiculophylla",42.3,5.37472381566621,79.2252761843338,0.0169325753466859,"Consumer abundance"
"4 species-Gracilaria vermiculophylla",18.55,-18.3752761843338,55.4752761843338,0.687262395105201,"Consumer abundance"
"3 species native-Gymnogongrus griffithsiae",-43.6000000000001,-80.5252761843339,-6.6747238156663,0.0128766919115679,"Consumer abundance"
"3 species invasive-Gymnogongrus griffithsiae",-18.2500000000001,-55.1752761843339,18.6752761843337,0.702765042572359,"Consumer abundance"
"4 species-Gymnogongrus griffithsiae",-42.0000000000001,-78.9252761843339,-5.07472381566629,0.0180266871450189,"Consumer abundance"
"3 species invasive-3 species native",25.35,-11.5752761843338,62.2752761843338,0.338517989162397,"Consumer abundance"
"4 species-3 species native",1.60000000000001,-35.3252761843338,38.5252761843338,0.999999305709921,"Consumer abundance"
